reference,name,organisation,description,notes,entry-date,start-date,end-date
pre-application,Pre-application,,,,2023-09-22,2023-09-22,
acceptance,Acceptance,,,,2023-09-22,2023-09-22,
pre-examination,Pre-examination,,,,2023-09-22,2023-09-22,
Examination,Examination,,,,2023-09-22,2023-09-22,
recommendation-and-decision,Recommendation and decision,,,,2023-09-22,2023-09-22,
post-decision,Post decision,,,,2023-09-22,2023-09-22,
