prefix,resource,organisation,reference,entity
infrastructure-project,,government-organisation:D1342,WS010006,11100000000
infrastructure-project-type,,government-organisation:D1342,generating-station,11020000000
infrastructure-project-event,,government-organisation:D1342,pre-application,11030000000
infrastructure-project-document-type,,government-organisation:D1342,development-constent-order,11040000000
infrastructure-project-decision,,government-organisation:D1342,consent-granted,11010000000
infrastructure-project-type,,government-organisation:D1342,electricity-line,11010000001
infrastructure-project-type,,government-organisation:D1342,waste-and-water,11010000002
infrastructure-project-type,,government-organisation:D1342,pipeline,11010000003
infrastructure-project-type,,government-organisation:D1342,energy,11010000004
infrastructure-project-type,,government-organisation:D1342,transport,11010000005
infrastructure-project-type,,government-organisation:D1342,business-and-commercial,11010000006
infrastructure-project-type,,government-organisation:D1342,water,11010000007
infrastructure-project-type,,government-organisation:D1342,waste,11010000008
infrastructure-project-type,,government-organisation:D1342,waste-water,11010000009
infrastructure-project,,government-organisation:D1342,BC080001,11010000010
infrastructure-project,,government-organisation:D1342,TR010022,11010000011
infrastructure-project,,government-organisation:D1342,TR010065,11010000012
infrastructure-project,,government-organisation:D1342,EN010151,11010000013
infrastructure-project,,government-organisation:D1342,EN010095,11010000014
infrastructure-project,,government-organisation:D1342,EN010133,11010000015
infrastructure-project,,government-organisation:D1342,TR050001,11010000016
infrastructure-project,,government-organisation:D1342,TR050009,11010000017
infrastructure-project,,government-organisation:D1342,TR050002,11010000018
infrastructure-project,,government-organisation:D1342,TR050003,11010000019
infrastructure-project,,government-organisation:D1342,WS010001,11010000020
infrastructure-project,,government-organisation:D1342,WS010005,11010000021
infrastructure-project,,government-organisation:D1342,EN010131,11010000022
infrastructure-project,,government-organisation:D1342,EN010123,11010000023
infrastructure-project,,government-organisation:D1342,TR050007,11010000024
infrastructure-project,,government-organisation:D1342,WA010003,11010000025
infrastructure-project,,government-organisation:D1342,EN010127,11010000026
infrastructure-project,,government-organisation:D1342,TR050006,11010000027
infrastructure-project,,government-organisation:D1342,EN010122,11010000028
infrastructure-project,,government-organisation:D1342,EN010159,11010000029
infrastructure-project,,government-organisation:D1342,EN010130,11010000030
infrastructure-project,,government-organisation:D1342,EN010149,11010000031
infrastructure-project,,government-organisation:D1342,EN010126,11010000032
infrastructure-project,,government-organisation:D1342,EN010142,11010000033
infrastructure-project,,government-organisation:D1342,EN020019,11010000034
infrastructure-project,,government-organisation:D1342,EN010005,11010000035
infrastructure-project,,government-organisation:D1342,EN010132,11010000036
infrastructure-project,,government-organisation:D1342,TR010060,11010000037
infrastructure-project,,government-organisation:D1342,TR010018,11010000038
infrastructure-project,,government-organisation:D1342,TR010044,11010000039
infrastructure-project,,government-organisation:D1342,TR010037,11010000040
infrastructure-project,,government-organisation:D1342,TR010040,11010000041
infrastructure-project,,government-organisation:D1342,TR010038,11010000042
infrastructure-project,,government-organisation:D1342,TR010039,11010000043
infrastructure-project,,government-organisation:D1342,EN010111,11010000044
infrastructure-project,,government-organisation:D1342,EN020002,11010000045
infrastructure-project,,government-organisation:D1342,WW010003,11010000046
infrastructure-project,,government-organisation:D1342,EN010077,11010000047
infrastructure-project,,government-organisation:D1342,EN010025,11010000048
infrastructure-project,,government-organisation:D1342,EN010056,11010000049
infrastructure-project,,government-organisation:D1342,EN010078,11010000050
infrastructure-project,,government-organisation:D1342,TR040012,11010000051
infrastructure-project,,government-organisation:D1342,WA010004,11010000052
infrastructure-project,,government-organisation:D1342,EN010115,11010000053
infrastructure-project,,government-organisation:D1342,EN010154,11010000054
infrastructure-project,,government-organisation:D1342,EN010003,11010000055
infrastructure-project,,government-organisation:D1342,TR010043,11010000056
